,zpid,streetAddress,city,state,zipcode,latitude,longitude,bedrooms,bathrooms,livingArea,lotAreaValue,lotAreaUnit,rentZestimate,taxAssessedValue,price,walkscore,bikescore,violent_crime,property_crime,cost_of_living,avg_sal,st_ratio,air_quality,n_per_household
0,2087749202,5335 Bent Tree Forest Dr APT 253,Dallas,TX,75248,32.965416,-96.81531,1.0,1.0,678,8.766,acres,1150.0,,168500,44.0,43.0,35.2,49.4,129.0,"$68,745",10,49,2.2
1,26631634,6021 Buffridge Trl,Dallas,TX,75252,33.007687,-96.80325,4.0,3.0,2681,6534.0,sqft,,417708.0,575000,33.0,24.0,42.2,56.5,124.0,"$55,237",10,48,2.1
2,26823842,6117 Singing Hills Dr,Dallas,TX,75241,32.673035,-96.80349,3.0,1.0,1272,6795.36,sqft,1395.0,155290.0,210750,40.0,40.0,70.1,76.0,92.1,"$32,258",10,25,3.0
3,26892234,7116 Chinaberry Rd,Dallas,TX,75249,32.638004,-96.94526,4.0,2.0,1796,6751.8,sqft,1990.0,178710.0,335000,36.0,32.0,37.9,50.8,100.2,"$53,624",10,59,3.0
4,2126105453,7135 Fair Oaks Ave APT 16,Dallas,TX,75231,32.8732,-96.75794,2.0,2.0,1164,2.9859999999999998,acres,2026.0,,149900,59.0,67.0,66.4,74.8,92.5,"$32,011",10,47,2.5
5,26882902,12909 Jasoncrest Trl,Dallas,TX,75243,32.924534,-96.71153,4.0,2.0,2178,0.193,sqft,2400.0,246700.0,399000,40.0,18.0,63.7,72.7,102.0,"$36,010",10,48,2.5
6,26808606,3328 Townsend Dr,Dallas,TX,75229,32.898525,-96.86709,3.0,2.0,2325,10203.0,sqft,2913.0,320460.0,648700,75.0,61.0,32.4,44.1,131.3,"$74,274",10,47,3.0
7,26690071,5903 Prospect Ave,Dallas,TX,75206,32.81513,-96.76566,2.0,2.0,1544,9016.92,sqft,2699.0,415000.0,799000,67.0,77.0,47.6,61.2,132.5,"$52,889",10,44,1.8
8,26893476,8511 Flower Meadow Dr,Dallas,TX,75243,32.895348,-96.74079,4.0,2.0,2516,8494.2,sqft,,359600.0,675000,49.0,45.0,63.7,72.7,102.0,"$36,010",10,48,2.5
9,2067047264,1924 Nemechek Dr,Dallas,TX,75217,32.745106,-96.700485,3.0,2.0,1400,7492.32,sqft,,,275000,44.0,46.0,60.6,67.8,92.1,"$35,786",10,50,3.8
10,2070092439,10724 Park Village Pl #A,Dallas,TX,75230,32.89265,-96.80673,2.0,2.0,1570,9.99,acres,2698.0,,449000,58.0,67.0,33.6,46.8,161.1,"$69,028",10,43,2.2
11,26900530,5200 Keller Springs Rd APT 1210,Dallas,TX,75248,32.96839,-96.81976,3.0,3.0,2272,7.599,acres,2991.0,579360.0,575000,53.0,67.0,35.2,49.4,129.0,"$68,745",10,49,2.2
12,26729430,2202 Lawndale Dr,Dallas,TX,75211,32.762444,-96.859055,2.0,2.0,1775,10149.48,sqft,2505.0,412950.0,505000,60.0,46.0,59.1,67.3,94.3,"$36,908",10,50,3.6
13,26858685,12220 Brookmeadow Ln,Dallas,TX,75218,32.862152,-96.688,3.0,2.0,1736,7405.2,sqft,,326300.0,425000,59.0,48.0,35.8,50.3,121.6,"$71,820",10,51,2.3
14,122302339,4107 Bowser Ave APT 203,Dallas,TX,75219,32.8054,-96.81321,2.0,2.0,1332,0.55,acres,2499.0,293040.0,415000,64.0,77.0,47.7,61.0,111.5,"$60,726",10,40,1.7
15,26889090,6218 Liberty Hill Ln,Dallas,TX,75248,32.954628,-96.79949,3.0,3.0,2057,7492.32,sqft,2799.0,337850.0,535000,40.0,62.0,35.2,49.4,129.0,"$68,745",10,49,2.2
16,84005891,4715 Stokes St,Dallas,TX,75216,32.71732,-96.74623,3.0,2.0,1404,6098.4,sqft,1660.0,142620.0,240000,26.0,6.0,70.7,76.4,82.1,"$23,591",10,36,2.9
17,26869137,9030 Meadowknoll Dr,Dallas,TX,75243,32.90007,-96.73262,4.0,3.0,3191,0.255,acres,3959.0,607430.0,825000,45.0,24.0,63.7,72.7,102.0,"$36,010",10,48,2.5
18,2067027271,9803 Walnut St #206,Dallas,TX,75243,,,2.0,2.0,1031,8.814,acres,,,128000,,28.0,63.7,72.7,102.0,"$36,010",10,48,2.5
19,26767291,2535 Kathleen Ave,Dallas,TX,75216,32.707695,-96.786606,4.0,2.0,1218,6098.4,sqft,1599.0,103140.0,270000,43.0,4.0,70.7,76.4,82.1,"$23,591",10,36,2.9
20,303983202,14228 Open Range Dr,Dallas,TX,75253,32.672935,-96.58917,3.0,2.0,1560,6534.0,sqft,2067.0,206610.0,289900,23.0,14.0,58.0,65.7,97.1,"$34,788",10,57,3.4
21,26893237,10230 China Tree Dr,Dallas,TX,75249,32.623127,-96.948364,4.0,2.0,1883,6751.8,sqft,1775.0,171000.0,280000,27.0,33.0,37.9,50.8,100.2,"$53,624",10,59,3.0
22,2070351181,4607 Garrison Ave,Dallas,TX,75216,32.69694,-96.78307,3.0,2.0,1215,7927.92,sqft,1214.0,,270000,38.0,48.0,70.7,76.4,82.1,"$23,591",10,36,2.9
23,26830644,8307 Stony Creek Dr,Dallas,TX,75228,32.80301,-96.70628,3.0,2.0,2085,7753.68,sqft,2100.0,251640.0,489900,49.0,67.0,58.0,67.2,99.8,"$36,773",10,51,3.0
24,26854724,9921 Greenfield Dr,Dallas,TX,75238,32.878654,-96.71424,4.0,3.0,2452,9104.04,sqft,3058.0,349150.0,794000,36.0,52.0,42.3,55.6,128.4,"$52,542",10,53,2.5
25,26737128,2740 San Jose Dr,Dallas,TX,75211,32.753117,-96.8655,3.0,1.0,1136,7230.96,sqft,,235240.0,260000,46.0,86.0,59.1,67.3,94.3,"$36,908",10,50,3.6
26,67964245,4122 Avondale Ave APT 103,Dallas,TX,75219,32.817413,-96.80589,1.0,2.0,825,0.47100000000000003,acres,1597.0,185630.0,250000,78.0,21.0,47.7,61.0,111.5,"$60,726",10,40,1.7
27,26788870,4062 Park Ln,Dallas,TX,75220,32.875053,-96.84376,3.0,2.0,1639,7927.92,sqft,,557340.0,775000,47.0,38.0,58.2,67.6,115.2,"$38,628",10,38,3.2
28,67963860,7057 Wax Berry Dr,Dallas,TX,75249,32.634857,-96.945625,3.0,2.0,1529,4181.76,sqft,1833.0,163700.0,249900,35.0,46.0,37.9,50.8,100.2,"$53,624",10,59,3.0
29,26910430,3408 Bellville Dr,Dallas,TX,75228,32.80434,-96.6793,3.0,2.0,1200,3310.56,sqft,1500.0,170130.0,248000,42.0,19.0,58.0,67.2,99.8,"$36,773",10,51,3.0
30,80231871,1424 Hidden Valley Dr,Dallas,TX,75241,32.668015,-96.80115,3.0,2.0,1497,5793.48,sqft,1729.0,157620.0,259900,24.0,62.0,70.1,76.0,92.1,"$32,258",10,25,3.0
31,2061689417,2505 Wedglea Dr APT 234,Dallas,TX,75211,32.755558,-96.860306,2.0,2.0,958,5.4879999999999995,sqft,,,182000,46.0,85.0,59.1,67.3,94.3,"$36,908",10,50,3.6
32,248830055,3923 Cole Ave #102,Dallas,TX,75204,32.81109,-96.79547,2.0,3.0,1452,0.0,sqft,,450120.0,650000,76.0,20.0,60.4,70.9,123.1,"$66,646",10,38,1.8
33,26796835,747 Elkhart Ave,Dallas,TX,75217,32.72611,-96.71346,4.0,2.0,1370,7361.64,sqft,1394.0,168670.0,290000,40.0,69.0,60.6,67.8,92.1,"$35,786",10,50,3.8
34,2061690799,5832 Sandhurst Ln #D,Dallas,TX,75206,32.843826,-96.766914,2.0,2.0,1000,4.119,acres,,,257200,69.0,75.0,47.6,61.2,132.5,"$52,889",10,44,1.8
35,26929010,5200 Martel Ave APT 11E,Dallas,TX,75206,32.83161,-96.78035,2.0,2.0,1099,6.009,acres,,219800.0,259000,73.0,69.0,47.6,61.2,132.5,"$52,889",10,44,1.8
36,2061691437,9696 Walnut St APT 1905,Dallas,TX,75243,32.92417,-96.72166,0.0,2.0,903,8.304,acres,,,70000,53.0,41.0,63.7,72.7,102.0,"$36,010",10,48,2.5
37,2112579356,6029 Spring Flower Trl,Dallas,TX,75248,32.978447,-96.80063,3.0,3.0,2242,7666.56,sqft,2995.0,,524900,48.0,93.0,35.2,49.4,129.0,"$68,745",10,49,2.2
38,248829299,3701 Turtle Creek Blvd APT 3K,Dallas,TX,75219,32.81229,-96.80156,1.0,1.0,1025,0.0,sqft,,213060.0,275000,68.0,76.0,47.7,61.0,111.5,"$60,726",10,40,1.7
39,2061692440,4682 Matilda St #F,Dallas,TX,75206,32.84435,-96.76753,1.0,1.0,738,4.119,acres,,,167200,75.0,29.0,47.6,61.2,132.5,"$52,889",10,44,1.8
40,26891413,9501 Timberbluff Cir,Dallas,TX,75249,32.63575,-96.95164,3.0,1.0,864,9104.04,sqft,1388.0,106220.0,199000,35.0,42.0,37.9,50.8,100.2,"$53,624",10,59,3.0
41,26903369,7428 Glenshannon Cir,Dallas,TX,75225,32.87583,-96.776695,4.0,6.0,7093,9561.0,sqft,10303.0,1690610.0,2100000,51.0,28.0,6.7,12.9,229.3,"$156,173",10,43,2.5
